variable,horizon,crps,rmse,mae,coverage_50,coverage_80,coverage_90
r,1,0.011365540158208218,0.012690466574422202,0.010877535615101982,0.8888888888888888,1.0,1.0
r,2,0.018526429351602612,0.021434000404926497,0.018993586121246863,0.7777777777777778,1.0,1.0
r,3,0.028142963721378682,0.17965756027567675,0.12096480647140447,1.0,1.0,1.0
r,4,0.044684603001477606,0.4295947696493135,0.29018471228261,1.0,1.0,1.0
y,1,0.01748434276759174,0.028850012471211207,0.021331913247448,0.7777777777777778,1.0,1.0
y,2,0.0337811709967012,0.051503698197059924,0.0394079305092447,0.7777777777777778,1.0,1.0
y,3,0.05417322486642145,0.09819374565526227,0.07480305963229195,0.8888888888888888,1.0,1.0
y,4,0.11572224365679379,0.6717398942938293,0.4528403149629261,1.0,1.0,1.0
